episode,winner,left_Fire_vizard,left_Lightning_Mage,left_Wanderer_Magician,right_Fire_vizard,right_Lightning_Mage,right_Wanderer_Magician
525,Right Team Wins!,16,3,15,7,9,17
526,Right Team Wins!,21,8,5,9,10,15
527,Right Team Wins!,11,8,4,6,11,6
528,Right Team Wins!,16,11,1,12,8,7
529,Draw!,25,9,2,7,15,14
530,Draw!,31,1,3,13,16,7
531,Draw!,29,5,2,13,10,13
532,Draw!,29,6,1,9,10,17
533,Right Team Wins!,22,5,0,8,6,13
534,Draw!,25,10,1,13,9,14
535,Left Team Wins!,11,6,7,12,7,5
536,Draw!,25,5,6,9,9,18
537,Left Team Wins!,21,6,3,14,9,7
538,Right Team Wins!,22,3,1,9,8,9
539,Left Team Wins!,12,1,19,11,12,13
540,Draw!,10,12,13,12,15,9
541,Right Team Wins!,11,14,11,11,14,11
542,Left Team Wins!,13,11,9,14,9,10
543,Right Team Wins!,12,11,11,10,12,12
544,Right Team Wins!,13,5,10,11,9,8
545,Left Team Wins!,10,12,11,11,11,11
546,Draw!,12,12,12,8,17,11
547,Draw!,16,12,7,21,9,6
548,Left Team Wins!,14,10,12,12,10,14
549,Left Team Wins!,10,15,4,7,12,10
550,Draw!,16,11,9,16,11,9
551,Left Team Wins!,11,7,1,6,9,4
552,Left Team Wins!,19,9,0,13,6,9
553,Left Team Wins!,8,9,3,6,11,3
554,Left Team Wins!,7,20,3,11,12,7
555,Right Team Wins!,14,6,13,5,11,13
556,Right Team Wins!,5,14,7,13,5,8
557,Right Team Wins!,8,5,10,10,8,5
558,Right Team Wins!,6,10,7,11,4,8
559,Draw!,15,21,0,12,11,13
560,Right Team Wins!,8,10,4,9,8,5
561,Right Team Wins!,11,10,5,8,9,9
562,Right Team Wins!,11,16,7,10,12,12
563,Right Team Wins!,9,22,4,15,7,13
564,Right Team Wins!,12,8,6,9,9,8
565,Draw!,16,13,6,12,13,11
566,Left Team Wins!,9,12,2,6,8,9
567,Left Team Wins!,6,12,5,4,12,7
568,Draw!,14,13,9,13,10,13
569,Left Team Wins!,6,15,11,8,14,10
570,Left Team Wins!,12,13,1,9,7,10
571,Right Team Wins!,16,7,8,12,8,11
572,Left Team Wins!,3,11,7,6,11,4
573,Right Team Wins!,9,8,18,17,8,11
574,Draw!,13,10,13,8,14,13
575,Right Team Wins!,12,4,12,12,7,9
576,Right Team Wins!,11,7,3,7,8,7
577,Left Team Wins!,10,11,5,8,11,7
578,Left Team Wins!,19,5,4,10,10,8
579,Left Team Wins!,11,13,6,10,7,12
580,Draw!,22,11,3,15,9,12
581,Right Team Wins!,11,7,7,9,7,9
582,Draw!,13,5,18,11,14,11
581,Draw!,14,5,16,11,11,14
582,Left Team Wins!,5,11,18,9,12,13
583,Right Team Wins!,7,7,12,7,11,8
584,Left Team Wins!,6,13,1,7,8,5
585,Left Team Wins!,3,11,5,6,9,4
586,Draw!,10,18,7,13,12,11
587,Right Team Wins!,7,8,6,10,6,5
588,Draw!,8,12,15,11,14,11
589,Draw!,10,10,15,18,9,8
590,Right Team Wins!,10,7,10,11,6,10
591,Left Team Wins!,4,10,7,10,6,5
592,Draw!,11,8,16,11,8,17
593,Right Team Wins!,12,12,10,10,8,16
594,Left Team Wins!,12,13,3,7,12,8
595,Draw!,12,10,13,10,15,11
596,Left Team Wins!,10,10,10,9,7,14
597,Right Team Wins!,13,11,11,14,4,17
598,Left Team Wins!,7,12,6,6,10,9
599,Left Team Wins!,10,13,8,9,9,13
600,Right Team Wins!,6,13,8,10,10,7
601,Right Team Wins!,7,13,9,11,7,11
602,Right Team Wins!,12,8,12,10,12,10
603,Right Team Wins!,12,8,7,13,6,8
604,Left Team Wins!,8,14,7,10,8,11
605,Left Team Wins!,8,14,6,14,6,7
606,Right Team Wins!,14,8,8,15,7,8
607,Draw!,15,6,14,16,10,10
608,Right Team Wins!,11,10,14,16,8,12
609,Draw!,18,10,8,10,12,13
610,Left Team Wins!,14,14,8,9,16,11
611,Right Team Wins!,10,10,4,7,10,7
612,Right Team Wins!,10,11,11,12,7,13
613,Left Team Wins!,11,11,8,10,11,9
614,Left Team Wins!,12,15,9,10,13,13
615,Right Team Wins!,9,9,9,10,11,6
616,Right Team Wins!,11,7,5,11,7,5
617,Draw!,15,12,8,14,11,11
618,Right Team Wins!,11,12,12,11,14,10
619,Left Team Wins!,10,4,8,9,8,4
620,Left Team Wins!,9,10,6,11,10,3
621,Right Team Wins!,8,7,9,8,8,8
622,Right Team Wins!,8,12,4,8,6,10
623,Left Team Wins!,14,9,9,16,8,8
624,Right Team Wins!,7,11,3,8,9,4
625,Left Team Wins!,7,12,8,11,12,4
626,Left Team Wins!,13,10,6,10,11,8
627,Right Team Wins!,13,11,8,9,9,14
628,Left Team Wins!,14,8,5,7,13,7
629,Left Team Wins!,16,8,6,10,8,12
630,Right Team Wins!,15,6,6,8,10,9
631,Left Team Wins!,13,6,7,10,7,9
632,Draw!,5,8,23,14,10,12
633,Right Team Wins!,9,5,15,12,11,6
634,Right Team Wins!,9,7,17,4,15,14
635,Right Team Wins!,11,5,16,13,7,11
636,Draw!,13,4,18,9,12,15
637,Right Team Wins!,9,9,18,14,12,10
638,Draw!,15,7,13,11,8,16
639,Left Team Wins!,13,6,8,11,9,7
640,Right Team Wins!,8,17,6,9,13,9
641,Left Team Wins!,14,8,11,15,7,11
642,Right Team Wins!,12,7,7,9,13,4
643,Left Team Wins!,14,12,7,10,13,10
644,Right Team Wins!,8,14,10,7,12,13
645,Right Team Wins!,14,8,10,11,11,10
646,Right Team Wins!,8,13,4,7,12,6
647,Left Team Wins!,12,9,4,7,5,13
648,Right Team Wins!,12,6,12,10,11,9
649,Right Team Wins!,13,10,4,11,5,11
650,Right Team Wins!,15,9,3,7,11,9
651,Right Team Wins!,19,6,4,6,14,9
652,Left Team Wins!,14,8,5,11,6,10
653,Right Team Wins!,10,7,3,8,7,4
654,Draw!,26,10,0,11,11,14
655,Draw!,21,9,6,13,7,16
656,Right Team Wins!,14,10,4,11,9,8
657,Left Team Wins!,20,8,4,10,9,13
658,Left Team Wins!,19,14,3,14,9,13
659,Right Team Wins!,19,7,3,14,5,10
660,Right Team Wins!,17,14,4,11,16,9
661,Right Team Wins!,15,12,1,13,11,4
662,Right Team Wins!,14,11,9,10,10,14
663,Right Team Wins!,11,7,4,7,9,6
664,Left Team Wins!,16,12,1,11,5,13
665,Right Team Wins!,14,9,1,7,11,5
666,Left Team Wins!,10,8,1,6,8,5
667,Right Team Wins!,10,13,2,11,5,9
668,Right Team Wins!,18,13,4,9,12,15
669,Right Team Wins!,11,14,4,11,9,9
670,Left Team Wins!,16,13,3,10,12,9
671,Left Team Wins!,12,9,1,4,13,5
672,Right Team Wins!,12,18,5,11,9,16
673,Right Team Wins!,6,14,9,11,13,5
674,Left Team Wins!,10,8,5,9,10,4
675,Right Team Wins!,7,11,6,8,7,9
676,Left Team Wins!,14,10,4,8,9,11
677,Left Team Wins!,11,13,3,11,10,6
678,Right Team Wins!,13,15,8,14,10,12
679,Left Team Wins!,14,10,5,4,10,15
680,Right Team Wins!,7,14,5,7,8,11
681,Left Team Wins!,14,11,4,10,10,8
682,Right Team Wins!,10,16,2,7,9,12
683,Right Team Wins!,4,16,1,9,9,3
684,Left Team Wins!,8,6,4,6,7,5
685,Draw!,11,23,2,18,6,12
686,Left Team Wins!,13,14,2,8,11,10
687,Left Team Wins!,6,16,10,16,7,9
688,Right Team Wins!,5,17,4,7,11,8
689,Right Team Wins!,8,21,0,9,9,11
690,Left Team Wins!,11,14,3,10,7,11
691,Right Team Wins!,7,19,2,8,9,11
692,Left Team Wins!,8,10,3,9,8,4
693,Left Team Wins!,11,10,1,7,9,6
694,Left Team Wins!,10,21,1,11,10,11
695,Left Team Wins!,7,9,0,6,7,3
696,Left Team Wins!,10,10,0,7,7,6
697,Right Team Wins!,4,18,6,8,12,8
698,Left Team Wins!,8,18,1,7,10,10
699,Right Team Wins!,6,19,3,8,10,10
700,Left Team Wins!,7,13,2,4,14,4
701,Right Team Wins!,6,12,3,6,7,8
702,Right Team Wins!,2,19,5,15,2,10
703,Right Team Wins!,2,18,2,3,9,10
704,Right Team Wins!,2,21,5,10,7,11
705,Right Team Wins!,0,17,8,6,12,7
706,Right Team Wins!,4,25,4,10,10,13
707,Left Team Wins!,4,15,4,8,10,5
708,Left Team Wins!,5,13,3,8,7,6
709,Right Team Wins!,5,19,3,9,7,11
710,Right Team Wins!,4,19,5,9,7,12
711,Right Team Wins!,3,22,8,11,10,12
712,Left Team Wins!,6,23,4,8,16,8
713,Left Team Wins!,3,18,2,9,6,8
714,Left Team Wins!,5,22,2,12,12,5
715,Right Team Wins!,3,16,1,8,5,6
716,Right Team Wins!,5,16,1,7,4,11
717,Right Team Wins!,6,17,4,12,5,10
718,Right Team Wins!,4,14,4,7,8,7
719,Right Team Wins!,5,17,2,6,9,9
720,Right Team Wins!,9,18,2,6,7,15
721,Left Team Wins!,4,13,2,7,8,4
722,Right Team Wins!,7,16,3,8,7,11
723,Left Team Wins!,4,15,0,3,12,4
724,Right Team Wins!,9,20,2,13,10,8
725,Right Team Wins!,4,13,6,6,12,5
726,Left Team Wins!,5,14,1,9,6,4
727,Left Team Wins!,7,24,2,6,10,17
728,Right Team Wins!,6,15,2,6,7,10
729,Left Team Wins!,5,13,6,7,10,7
730,Right Team Wins!,6,13,8,10,8,9
731,Left Team Wins!,7,10,5,12,6,4
732,Left Team Wins!,6,12,5,5,11,7
733,Left Team Wins!,7,15,3,8,7,10
734,Left Team Wins!,7,13,2,5,10,7
735,Right Team Wins!,7,9,5,8,10,3
736,Left Team Wins!,6,11,4,7,8,6
737,Right Team Wins!,11,5,6,8,8,6
738,Left Team Wins!,8,14,1,9,9,5
739,Left Team Wins!,12,9,4,11,11,4
740,Right Team Wins!,15,10,0,12,7,6
741,Left Team Wins!,10,10,4,6,13,5
742,Right Team Wins!,15,14,7,10,16,10
743,Left Team Wins!,13,14,3,8,9,13
744,Right Team Wins!,17,11,6,9,12,13
745,Right Team Wins!,20,4,1,9,10,6
746,Left Team Wins!,17,13,6,11,12,13
747,Right Team Wins!,23,8,4,12,10,13
748,Right Team Wins!,12,10,3,6,11,8
749,Draw!,15,20,1,14,6,16
750,Left Team Wins!,13,9,5,13,9,5
751,Right Team Wins!,18,12,5,11,11,13
752,Right Team Wins!,16,16,3,15,10,10
753,Left Team Wins!,11,12,4,6,10,11
754,Left Team Wins!,14,11,5,9,6,14
755,Right Team Wins!,11,10,12,11,9,13
756,Left Team Wins!,5,12,7,9,7,8
757,Left Team Wins!,5,11,3,5,8,6
758,Right Team Wins!,17,10,4,12,10,8
759,Right Team Wins!,11,10,13,12,12,10
760,Right Team Wins!,11,6,12,5,8,15
761,Left Team Wins!,7,13,6,10,9,7
762,Left Team Wins!,8,13,3,8,6,10
763,Left Team Wins!,11,13,2,12,6,8
764,Left Team Wins!,11,9,7,9,9,9
765,Left Team Wins!,11,8,3,8,7,7
766,Draw!,29,4,3,10,9,17
767,Right Team Wins!,10,10,8,3,14,11
768,Left Team Wins!,12,12,6,11,11,8
769,Draw!,18,12,6,14,10,12
770,Left Team Wins!,6,9,5,10,7,3
771,Right Team Wins!,6,10,7,6,8,9
772,Right Team Wins!,15,8,6,13,9,7
773,Left Team Wins!,7,11,5,8,8,7
774,Left Team Wins!,5,11,9,7,8,9
775,Left Team Wins!,8,17,9,11,14,9
776,Draw!,15,10,10,8,7,21
777,Right Team Wins!,10,11,4,9,11,5
778,Left Team Wins!,9,11,13,7,13,13
779,Left Team Wins!,7,9,12,11,5,11
780,Left Team Wins!,5,16,11,8,9,15
781,Draw!,5,14,17,11,9,16
782,Right Team Wins!,14,10,7,7,9,15
783,Draw!,8,20,8,13,10,13
784,Left Team Wins!,6,10,9,7,8,10
785,Left Team Wins!,6,17,13,13,9,14
786,Left Team Wins!,5,14,8,17,2,8
787,Draw!,16,15,5,9,14,13
788,Left Team Wins!,8,20,8,14,11,10
789,Left Team Wins!,4,18,9,15,9,7
790,Right Team Wins!,8,13,7,11,10,7
791,Right Team Wins!,12,12,2,6,8,12
792,Draw!,17,13,5,10,11,15
793,Right Team Wins!,15,8,4,9,7,11
794,Draw!,9,14,13,12,9,15
795,Left Team Wins!,6,14,11,8,12,11
796,Right Team Wins!,6,12,12,6,13,11
797,Right Team Wins!,6,13,12,9,12,10
798,Left Team Wins!,7,14,9,9,9,11
799,Left Team Wins!,6,17,13,13,14,9
800,Left Team Wins!,4,13,12,9,10,10
801,Right Team Wins!,6,20,9,10,8,17
802,Left Team Wins!,2,14,8,6,12,6
803,Right Team Wins!,11,20,4,8,14,13
804,Left Team Wins!,6,18,9,9,10,14
805,Draw!,5,18,13,16,7,13
806,Draw!,6,14,16,17,8,10
807,Right Team Wins!,8,12,1,5,9,7
808,Right Team Wins!,14,12,6,8,12,12
809,Right Team Wins!,7,10,10,11,12,3
810,Left Team Wins!,5,16,6,7,8,12
811,Left Team Wins!,13,12,2,9,6,12
812,Right Team Wins!,14,20,2,13,12,11
813,Left Team Wins!,21,9,2,8,11,13
814,Left Team Wins!,6,12,2,5,9,6
815,Left Team Wins!,24,9,2,14,11,11
816,Left Team Wins!,14,6,1,4,10,6
817,Left Team Wins!,20,10,3,13,10,10
818,Right Team Wins!,19,12,4,12,14,10
819,Right Team Wins!,5,16,3,6,8,10
820,Right Team Wins!,15,10,3,7,11,10
821,Right Team Wins!,9,13,3,8,12,5
822,Right Team Wins!,11,13,4,9,13,6
823,Right Team Wins!,7,10,4,7,7,7
824,Left Team Wins!,5,14,2,6,8,7
825,Right Team Wins!,8,14,1,10,6,7
826,Left Team Wins!,7,20,4,12,10,8
827,Left Team Wins!,3,12,3,7,10,2
828,Left Team Wins!,9,11,1,7,6,8
829,Left Team Wins!,12,14,6,14,7,11
830,Right Team Wins!,11,12,12,8,12,15
831,Left Team Wins!,13,5,2,5,9,6
832,Left Team Wins!,14,8,0,3,7,12
833,Left Team Wins!,15,14,3,13,7,12
834,Left Team Wins!,22,12,0,14,8,12
835,Right Team Wins!,9,11,7,11,8,8
836,Left Team Wins!,17,7,5,8,6,15
837,Draw!,23,9,4,15,12,9
838,Left Team Wins!,16,10,7,12,12,9
839,Left Team Wins!,25,5,1,12,8,11
840,Left Team Wins!,19,7,1,9,11,7
841,Right Team Wins!,10,7,5,7,8,7
842,Right Team Wins!,14,11,4,13,10,6
843,Right Team Wins!,12,8,6,10,11,5
844,Draw!,25,10,1,12,8,15
845,Left Team Wins!,13,10,1,8,7,9
846,Left Team Wins!,24,6,5,14,11,11
847,Right Team Wins!,16,12,4,7,10,15
848,Left Team Wins!,17,1,6,9,7,8
849,Right Team Wins!,10,8,3,6,7,8
850,Left Team Wins!,19,12,4,7,14,15
851,Draw!,15,16,4,11,11,14
852,Right Team Wins!,15,11,4,3,14,13
853,Left Team Wins!,20,7,6,13,14,6
854,Draw!,28,7,1,14,11,10
855,Draw!,23,11,2,14,14,8
856,Right Team Wins!,16,7,1,8,8,7
857,Right Team Wins!,18,14,0,7,15,10
858,Left Team Wins!,13,12,2,8,12,7
859,Right Team Wins!,17,7,2,10,6,10
860,Right Team Wins!,17,12,7,7,17,11
861,Left Team Wins!,14,9,5,12,8,8
862,Right Team Wins!,14,11,10,15,8,13
863,Right Team Wins!,8,8,17,6,10,15
864,Right Team Wins!,9,12,9,11,14,5
865,Right Team Wins!,11,9,12,15,8,9
866,Left Team Wins!,9,10,14,8,10,15
867,Right Team Wins!,15,12,6,9,13,11
868,Left Team Wins!,15,4,4,11,8,4
869,Left Team Wins!,15,15,4,13,7,14
870,Left Team Wins!,14,12,3,10,9,10
871,Left Team Wins!,13,11,4,10,5,13
872,Left Team Wins!,12,9,2,10,7,6
873,Left Team Wins!,11,12,2,8,9,8
874,Left Team Wins!,11,6,3,7,5,8
875,Left Team Wins!,15,7,6,4,12,12
876,Left Team Wins!,17,11,6,16,7,11
877,Right Team Wins!,18,4,2,9,7,8
878,Left Team Wins!,18,10,1,8,13,8
879,Right Team Wins!,15,6,12,5,13,15
880,Right Team Wins!,19,10,4,11,13,9
881,Right Team Wins!,14,7,3,6,10,7
882,Draw!,18,14,4,16,14,5
883,Left Team Wins!,14,12,3,9,13,7
884,Right Team Wins!,16,9,6,14,10,7
885,Right Team Wins!,20,3,4,9,7,11
886,Draw!,19,13,4,14,10,12
887,Left Team Wins!,15,9,1,10,7,8
888,Draw!,17,11,8,12,14,10
889,Right Team Wins!,15,8,1,10,7,7
890,Right Team Wins!,13,6,6,7,7,11
891,Left Team Wins!,9,8,10,15,6,6
892,Left Team Wins!,6,12,9,11,11,5
893,Right Team Wins!,7,11,6,4,13,7
894,Draw!,8,5,23,11,14,11
895,Right Team Wins!,9,7,15,13,8,10
896,Right Team Wins!,8,11,15,15,6,12
897,Right Team Wins!,15,8,12,13,10,13
898,Left Team Wins!,10,7,15,12,8,12
899,Left Team Wins!,6,10,14,6,16,8
900,Left Team Wins!,7,9,19,16,7,12
901,Draw!,8,10,18,11,11,13
902,Left Team Wins!,11,10,15,11,14,11
903,Draw!,7,15,14,10,15,10
904,Draw!,10,14,12,15,9,11
905,Right Team Wins!,13,8,5,10,9,7
906,Left Team Wins!,9,10,9,10,10,8
907,Right Team Wins!,5,12,8,6,13,6
908,Right Team Wins!,7,9,17,10,11,12
909,Right Team Wins!,7,11,7,9,8,8
910,Right Team Wins!,6,12,8,9,9,8
911,Left Team Wins!,9,9,3,9,8,4
912,Right Team Wins!,7,12,9,10,9,9
913,Left Team Wins!,6,9,7,9,9,4
914,Draw!,10,16,10,10,11,15
915,Left Team Wins!,10,17,5,9,12,11
916,Left Team Wins!,8,14,5,11,11,5
917,Right Team Wins!,7,8,18,10,14,9
918,Left Team Wins!,6,15,7,14,4,10
919,Draw!,9,17,9,13,11,11
920,Left Team Wins!,7,23,5,10,12,12
921,Right Team Wins!,8,10,17,19,10,7
922,Left Team Wins!,4,14,4,7,8,6
923,Left Team Wins!,7,14,7,6,13,9
924,Left Team Wins!,5,13,4,6,10,6
925,Right Team Wins!,3,11,12,6,12,8
926,Left Team Wins!,8,9,8,9,12,4
927,Left Team Wins!,8,8,10,6,12,8
928,Left Team Wins!,11,11,9,13,10,8
929,Left Team Wins!,8,9,7,10,5,9
930,Left Team Wins!,13,10,10,8,10,14
931,Draw!,18,2,15,11,12,13
932,Left Team Wins!,11,10,10,14,6,11
933,Draw!,16,8,12,7,15,13
934,Left Team Wins!,12,10,1,7,10,6
935,Left Team Wins!,8,10,15,13,12,8
936,Right Team Wins!,14,1,16,9,11,11
937,Right Team Wins!,13,4,16,18,7,8
938,Right Team Wins!,9,14,12,13,10,13
939,Right Team Wins!,8,11,5,7,11,6
940,Left Team Wins!,8,8,8,10,8,6
941,Right Team Wins!,5,12,6,6,7,10
942,Draw!,8,6,22,12,15,9
943,Draw!,10,11,15,15,9,12
944,Right Team Wins!,5,12,6,10,7,6
945,Draw!,14,9,13,11,9,16
946,Left Team Wins!,11,16,5,7,11,14
947,Left Team Wins!,5,12,3,11,4,5
948,Right Team Wins!,0,16,13,12,8,9
949,Left Team Wins!,3,18,3,6,9,9
950,Draw!,5,24,7,14,14,8
951,Draw!,9,16,10,12,12,12
952,Right Team Wins!,3,13,9,7,8,10
953,Right Team Wins!,4,13,4,8,6,7
954,Left Team Wins!,9,15,5,11,10,8
955,Right Team Wins!,9,14,12,15,11,9
956,Left Team Wins!,7,17,4,6,13,9
957,Left Team Wins!,12,9,4,7,7,11
958,Right Team Wins!,13,9,8,9,9,12
959,Left Team Wins!,9,9,3,6,8,7
960,Left Team Wins!,12,14,4,8,12,10
961,Right Team Wins!,11,11,5,11,11,5
962,Left Team Wins!,6,10,4,6,6,8
963,Right Team Wins!,4,12,4,9,7,4
964,Left Team Wins!,24,5,4,12,9,12
965,Right Team Wins!,22,5,2,7,11,11
966,Right Team Wins!,23,7,0,8,11,11
967,Left Team Wins!,15,3,4,11,8,3
968,Left Team Wins!,17,1,4,9,5,8
969,Draw!,30,5,0,9,12,15
970,Right Team Wins!,20,4,2,12,6,8
971,Left Team Wins!,18,3,1,10,6,6
972,Right Team Wins!,12,7,3,8,9,5
973,Draw!,30,1,4,10,13,13
974,Left Team Wins!,24,1,4,9,9,10
975,Left Team Wins!,20,1,2,6,11,6
976,Left Team Wins!,22,2,2,10,11,4
977,Left Team Wins!,19,9,1,8,9,12
978,Right Team Wins!,8,8,3,10,5,4
979,Right Team Wins!,10,6,4,6,10,4
980,Right Team Wins!,8,9,1,5,9,4
981,Right Team Wins!,16,6,3,6,11,7
982,Left Team Wins!,22,1,0,8,9,6
983,Left Team Wins!,16,7,0,9,8,6
984,Right Team Wins!,18,5,12,14,10,12
985,Right Team Wins!,9,7,4,4,10,6
986,Left Team Wins!,18,3,3,8,10,6
987,Left Team Wins!,13,8,1,9,8,5
988,Right Team Wins!,15,10,0,7,11,7
989,Left Team Wins!,22,12,2,10,11,15
990,Left Team Wins!,17,15,3,12,8,15
991,Left Team Wins!,12,9,1,8,9,5
992,Right Team Wins!,14,5,8,11,7,9
993,Left Team Wins!,9,7,8,5,11,8
994,Right Team Wins!,5,14,4,6,13,4
995,Left Team Wins!,7,10,12,11,7,11
996,Left Team Wins!,6,14,13,11,12,10
997,Left Team Wins!,8,16,5,9,10,10
998,Left Team Wins!,5,12,4,8,7,6
999,Left Team Wins!,2,19,3,6,7,11
1000,Left Team Wins!,3,15,3,12,3,6
1001,Left Team Wins!,2,25,1,13,8,7
1002,Right Team Wins!,2,19,4,11,9,5
1003,Left Team Wins!,3,17,5,8,8,9
1004,Left Team Wins!,2,26,1,10,10,9
1005,Left Team Wins!,0,18,1,5,8,6
1006,Right Team Wins!,1,18,3,6,5,10
1007,Left Team Wins!,5,16,4,4,9,11
1008,Left Team Wins!,9,14,5,6,12,10
1009,Left Team Wins!,3,17,1,6,5,10
1010,Left Team Wins!,8,26,2,9,10,16
1011,Left Team Wins!,7,27,1,14,8,12
1012,Right Team Wins!,10,9,4,11,5,7
1013,Left Team Wins!,5,14,3,10,4,8
1014,Right Team Wins!,1,17,2,6,9,5
1015,Left Team Wins!,5,18,1,7,7,10
1016,Right Team Wins!,7,18,3,10,12,6
1017,Right Team Wins!,6,15,4,9,8,8
1018,Left Team Wins!,11,19,2,6,13,13
1019,Right Team Wins!,6,17,5,11,7,9
1020,Right Team Wins!,10,7,3,7,7,6
1021,Left Team Wins!,14,15,2,11,7,13
1022,Left Team Wins!,5,10,6,7,7,7
1023,Left Team Wins!,8,18,8,12,14,8
1024,Left Team Wins!,7,9,7,8,4,11
1025,Left Team Wins!,8,13,12,9,17,7
1026,Left Team Wins!,9,5,9,7,9,7
1027,Left Team Wins!,18,7,11,15,8,13
1028,Left Team Wins!,25,7,4,11,11,13
1029,Draw!,23,3,10,9,17,9
1030,Right Team Wins!,12,4,9,6,12,7
1031,Right Team Wins!,15,7,7,8,11,10
1032,Left Team Wins!,19,2,9,11,13,6
1033,Left Team Wins!,29,0,6,16,13,7
1034,Right Team Wins!,16,3,3,10,7,5
1035,Draw!,24,0,12,12,14,9
1036,Right Team Wins!,22,7,5,9,14,11
1037,Left Team Wins!,23,2,4,10,7,12
1038,Left Team Wins!,17,3,7,7,13,7
1039,Draw!,33,2,1,12,14,10
1040,Right Team Wins!,17,11,3,10,10,11
1041,Left Team Wins!,20,5,2,11,10,5
1042,Left Team Wins!,20,3,2,6,11,8
1043,Draw!,35,0,1,17,12,7
1044,Draw!,30,2,4,6,13,16
1045,Left Team Wins!,22,0,5,7,9,11
1046,Right Team Wins!,25,4,3,9,14,9
1047,Left Team Wins!,19,3,1,7,9,7
1048,Draw!,32,0,4,13,8,14
1049,Right Team Wins!,24,3,4,13,9,9
1050,Left Team Wins!,20,3,5,11,9,8
1051,Left Team Wins!,25,0,6,11,12,8
1052,Left Team Wins!,29,1,6,11,11,14
1053,Left Team Wins!,23,0,4,10,7,10
1054,Right Team Wins!,21,3,3,6,5,16
1055,Right Team Wins!,17,1,4,6,9,8
1056,Draw!,32,0,4,15,9,12
1057,Right Team Wins!,24,4,3,11,8,12
1058,Right Team Wins!,19,6,7,10,7,15
1059,Right Team Wins!,30,1,4,13,10,12
1060,Left Team Wins!,17,1,6,11,8,5
1061,Left Team Wins!,19,1,3,7,8,8
1062,Right Team Wins!,25,3,6,10,6,17
1063,Right Team Wins!,24,3,4,7,11,13
1064,Right Team Wins!,27,1,7,13,10,12
1065,Right Team Wins!,15,3,4,5,10,7
1066,Right Team Wins!,16,6,6,12,10,6
1067,Right Team Wins!,19,2,6,12,7,8
1068,Draw!,23,5,7,13,8,14
1069,Left Team Wins!,4,12,5,9,5,7
1070,Left Team Wins!,6,20,3,9,12,8
1071,Draw!,12,21,3,9,12,14
1072,Left Team Wins!,1,13,4,8,8,2
1073,Left Team Wins!,6,12,3,10,5,6
1074,Draw!,5,24,7,10,9,17
1075,Left Team Wins!,8,22,5,15,7,14
1076,Right Team Wins!,16,10,3,12,8,9
1077,Left Team Wins!,9,17,4,14,10,6
1078,Left Team Wins!,11,18,0,11,13,5
1079,Right Team Wins!,12,6,4,8,8,6
1080,Left Team Wins!,5,17,3,11,5,9
1081,Left Team Wins!,12,13,2,8,11,8
1082,Right Team Wins!,15,8,1,6,11,7
1083,Right Team Wins!,16,8,4,9,10,9
1084,Draw!,25,10,1,8,12,16
1085,Left Team Wins!,12,13,1,6,10,10
1086,Right Team Wins!,8,11,2,6,11,4
1087,Right Team Wins!,7,11,5,6,10,7
1088,Right Team Wins!,9,14,4,7,9,11
1089,Left Team Wins!,3,10,5,6,10,2
1090,Left Team Wins!,5,10,3,6,8,4
1091,Draw!,15,16,5,7,13,16
1092,Left Team Wins!,13,16,1,7,10,13
1093,Right Team Wins!,7,10,8,13,6,6
1094,Right Team Wins!,10,10,5,8,8,9
1095,Right Team Wins!,8,14,2,12,7,5
1096,Left Team Wins!,11,16,1,6,10,12
1097,Left Team Wins!,12,21,0,13,12,8
1098,Left Team Wins!,13,15,2,4,13,13
1099,Right Team Wins!,14,8,5,8,8,11
1100,Right Team Wins!,8,19,3,12,5,13
1101,Left Team Wins!,7,11,1,7,7,5
1102,Right Team Wins!,18,9,2,8,10,10
1103,Right Team Wins!,19,8,7,13,11,10
1104,Left Team Wins!,12,15,2,11,6,12
1105,Right Team Wins!,16,11,3,6,17,7
1106,Left Team Wins!,5,18,0,5,3,14
1107,Left Team Wins!,3,16,3,11,5,6
1108,Right Team Wins!,8,14,4,10,6,10
1109,Right Team Wins!,2,22,2,11,9,6
1110,Right Team Wins!,4,21,5,11,9,9
1111,Left Team Wins!,3,18,0,9,8,4
1112,Right Team Wins!,11,20,3,8,13,13
1113,Left Team Wins!,1,23,0,7,10,7
1114,Right Team Wins!,6,16,5,10,12,6
1115,Right Team Wins!,4,26,5,16,11,8
1116,Left Team Wins!,4,16,5,6,12,7
1117,Left Team Wins!,5,18,2,5,11,9
1118,Left Team Wins!,2,15,1,7,7,4
1119,Left Team Wins!,4,20,0,8,7,9
1120,Right Team Wins!,0,19,3,7,7,8
1121,Left Team Wins!,2,17,1,7,4,9
1122,Left Team Wins!,2,22,0,11,4,9
1123,Left Team Wins!,9,17,8,9,9,16
1124,Left Team Wins!,2,15,1,5,7,6
1125,Left Team Wins!,2,22,1,8,10,7
1126,Left Team Wins!,1,26,0,7,12,8
1127,Right Team Wins!,13,15,1,7,10,12
1128,Right Team Wins!,8,17,4,6,9,14
1129,Left Team Wins!,4,17,1,9,6,7
1130,Right Team Wins!,2,24,7,18,5,10
1131,Right Team Wins!,5,16,2,10,6,7
1132,Left Team Wins!,1,21,0,9,4,9
1133,Right Team Wins!,11,14,3,7,10,11
1134,Right Team Wins!,12,17,4,10,10,13
1135,Left Team Wins!,2,14,1,9,6,2
